label,question,answer
0,onde amyr klink row no Oceano Atlântico,"Salvador, Brasil"
0,O que é construído ao longo do rio Paraná para fornecer transporte,Barragens hidrelétricas
0,Quem foi o missionário espanhol que alegou ter encontrado amazônicas brancas,GASPAR DE CARVAJAL.
0,Quando você é a única temporada do Brasil 1,1º de fevereiro de 2015
0,Qual é o nome da região brasileira em torno de Palmas Tocantins,o cerrado
0,Onde os jogos de basquete em Ambato acontecem,Coliseo Cerrado de Deportes
0,Geofago Brasiliensis é uma espécie de qual peixe,Cichlid Pearl.
0,qual estado americano tem a maior população de caatinga,Texas.
0,Qual é o nome inglês da Bahia Cook Bay?,Cook Bay
0,Qual foi o codename dado à Batalha da Ilha Sukho em WW,Operação Brasil.
0,Quantos competidores avançados na segunda temporada do IGLOOS BRASIL,Cento e oito
1,Onde foi realizada a costa sudeste da América?,Brasil
0,Onde os sapos de Saddleback vivem na América do Sul,Mata Atlântica
0,Qual doença matou a maioria das pessoas no Brasil em 2009,gripe suína
0,que tipo de garota é liz na cidade,Amazônia
1,De onde veio os tamoios na ilha de Villegagnon?,Brasil
0,Como o desodoro brasileiro de defesa costeira é batizado,Botão elétrico
0,Quem descobriu que 5% da Floresta Nacional de Roraima foi ilegalmente minada,Ibama.
1,quão longe são as ilhas de Alcatrazes de são Sebastian,35 km
0,De onde vem a árvore de fogo brasileira,América tropical
0,Qual região francesa no exterior é o Brasil localizado em,Guiana Francesa
0,Qual é outro nome para o grupo amazônico de wai wai pessoas,Arara
0,Quem é o diretor da Philharmonic da Amazonas,Marcelo de Jesus.
0,Quem foi o Meio Ambiente do Brasil em 2008,Marina Silva.
1,A lagoa Rodrigo de Freitas separa o Rio de Janeiro de,o Oceano Atlântico
0,Qual é o nome da organização brasileira que procura proteger a biodiversidade,Ibama.
0,Quem era o Demi-deus da Amazônia que derrotou a mulher maravilha,Hércules
0,Que porcentagem da venda o biomet pagou médicos no Brasil e na China,15-20%
0,Qual país é o segundo maior produtor de café do mundo após a Costa do Marfim,Brasil
0,Fernando de Noronha é administrado diretamente pelo governo de qual estado,Pernambuco.
0,Que floresta é para o leste da cordilheira do Espinhaço,Mata Atlântica
0,Em que país é o rio Amazonas,Brasil
0,Quando você é a única temporada do Brasil 3,29 de janeiro de 2017
0,Almoerus decemarticulatus é um exemplo de que tipo de formiga,Amazônia
0,Quem foi o explorador brasileiro que descobriu Barra Seca,Francisco Gonçalves de Carvalho
0,Quando La Voz Equador Air em TeleMEZONAS,2015
0,Quando a Marinha Brasileira encontrou a bandeira de aflição na Wake Island?,maio de 1908.
0,O que o Ministério da Educação aboliu da Universidade da Amazonas,Engenharia operacional
0,De onde a mulher que morreu no acidente de trem de Hoboken vem de,Brasil
0,Qual é o complexo hidrelétrico na Bahia chamada,Paulo Afonso Complexo.
0,Qual porcentagem da floresta amazônica é usada agora para ranching,90%
0,Que estado é Cumbuco localizado na costa nordeste do Brasil,Ceará.
0,Qual é o nome da vasta savana tropical do Brasil,Cerrado
0,"Qual foi o nome da colônia leproso na floresta amazônica, onde Che",San Pablo
0,Onde estão as espécies de extinção encontradas no Brasil,a Mata Atlântica.
0,Qual é o nome da espécie brasileira de opiliones,Caecobunus território.
0,O Tembe é um povo indígena do qual país sul-americano,Brasil
0,Quando o Brasil mudou suas leis sobre crueldade animal,1998
0,Quando a população amazônica começou a declinar rapidamente?,1900
0,Chaunoides Antiquus é uma espécie de gritador nativa a qual país,Brasil
0,Raposa Serra do Sol é um território indígena em que país sul-americano,Brasil
0,Qual porcentagem dos peixes amazônicos são Characiformes,43%
1,Sugarloaf Mountain no Rio de Janeiro sai em que oceano,oceano Atlântico
0,Quanto venderam biomet para o Brasil e a China,15-20%
0,Quando começa a temporada de futebol de 2019 no Brasil?,28 de abril de 2019
0,Qual porca é encontrada na floresta úmida de Uatuma-Trombetas,castanha do Brasil
0,Quem ganhou 3ª temporada do próximo modelo do Brasil,Camila Trindade
0,Quantos lugares existem no Brasil Senado,81
0,Quantas espécies de anfíbios são encontradas no Cerrado,150
0,Quais são os Waorani chamados no Amazônia?,Waos.
0,Onde é a maior floresta tropical do norte da Amazônia,Brasil
0,Quando você é a primeira estreia do Brasil temporada 1,1º de fevereiro de 2015
0,Que tipo de pessoas são as apiacas,povos indígenas do Brasil
1,O que é encontrado nas bacias offshore do Brasil,óleo
0,Quanta energia eólica foi produzida no Brasil em 2003,22 MW.
0,Quando o Power Couple Side 2 começam no Brasil,18 de abril de 2017
0,Que tipo de flora é encontrada em Choquequirao,Amazônia
0,Quantos locais de treinamento haverá no Rio de Janeiro 2016,29
0,Em qual cidade era a 'Xuxa Park Fire' de 2001,Rio de Janeiro
0,onde vivem as manateas amazônicas no mundo?,Colômbia
0,Qual é o status de Fernando de Noronha Marine Park,Área Protegida da IUCN Categoria II
0,Que porcentagem de peruanos são amazônicas,"0,30%"
0,O rio Curuçá é em que país,Brasil
0,O que precisa ser feito se o desmatamento deve ser interrompido no Brasil,uma reforma do sistema mundial de mercado
0,Quantos Barasana vivem na selva amazônica,40
0,que tipo de log é usado na floresta amazônica,Log seletivo
0,Onde está o zoológico de San Antonio localizado na América do Sul,Amazônia
0,Qual é o nome da ponte que conecta o Brasil a Guiana,Takutu River Bridge
0,onde estão as montanhas spinhaço localizadas em um mapa,Brasil
0,De onde a Wai Wai fez suas flautas e bateria?,floresta amazônica
0,Qual país deu a Paraguai uma ponte sobre o rio paraguai,Brasil
2,Onde está a praia da Mole no Brasil,Florianópolis.
0,Quantas pessoas vivem na área de Caatinga no Brasil,26 milhões
0,Qual é o gás atmosférico mais abundante na floresta amazônica,dióxido de carbono
0,Que problema ambiental atraiu mais atenção no Brasil na década de 1980,desmatamento
0,Onde a trilha Nhamini-WI começou?,a selva amazônica
0,A Amazonas State University é em qual cidade,Manaus.
0,Qual é a maior fonte de energia não renovável no Brasil?,Mineração de carvão
0,onde está o macaco de safaste prateado encontrado na floresta amazônica,Brasil
0,Quantas espécies de sinalgrasses brasileiras existem,Mais de 100
0,onde é o guia da selva tatunca narara,"Barcelos, Amazonas"
0,Pedra da GA Vea é uma montanha localizada em que país,Brasil
0,Quem é o atual apresentador de TeleMEZONAS,Jorge Ortiz.
0,Em que país existe um aumento de 11% na incidência da doença de Crohn,Brasil
0,O parque amazônico é em qual país europeu,França
0,Quanto da vida selvagem animal contrabandeada a polícia brasileira intercepta,0.50%
0,De onde vive os chachapoyas no Peru?,Amazonas Region.
0,Que tipo de questões estão aumentando na embalagem brasileira,de Meio Ambiente
0,Quando o Brasil e a Ucrânia se encontraram em Nova York?,setembro de 2003.
0,Quando os EUA enviaram uma gênero até o rio Paraná?,1858
0,Quantas pessoas Yanomami vivem na floresta amazônica,Aproximadamente 35.000.
0,que tipo de governo a nova amazônica tem,socialismo do estado
0,Quais são os dois tipos de Tocantins encontrados no estado do Pará?,Cerrado
0,Qual é a principal causa da seca no Brasil,desmatamento
0,Em qual cidade você encontraria a montanha de Corcovado?,"Rio de Janeiro, Brasil"
0,em que país sul-americano é o rio Matupiri,Brasil
0,Quanto da floresta amazônica é ameaçada por um clima aquecedor até 2100,85%
0,Qual foi a principal exportação da bacia amazônica?,borracha
0,quem é o aquífero guarani nomeado depois,o povo guaraniano
0,Quando perguntou mulher que a cômica da Amazônia saiu,1997
0,O estado do Acre é limitado pelo qual dois outros estados,Amazonas.
0,Qual porcentagem da terra do Brasil é Caatinga,10%
0,A rodovia trans-amazônica é em que país sul-americano,Brasil
0,Qual foi o nome do primeiro navio peruano a chegar em águas equatorianas,Bap Amazonas.
0,Em que país são indígenas chamados pardos ou pessoas castanhas,Brasil
0,Quantos limites existem na floresta atlântica?,Quatro.
0,Quantas espécies ameaçadas existem no Brasil?,769
0,O Parque Nacional da Serra da Mocidade está localizado em que estado do Brasil,Amazonas.
0,Em que país é a Floresta Nacional de Carajás,Brasil
0,Quantas espécies de moluscos não marinhos estão lá no Brasil,1107
0,quanta energia faz foz do igu fornece no Brasil,15%
0,Qual floresta tropical é encontrada no Peru,floresta amazônica
0,Onde fica o rio Aripuanã no Brasil,Mato Grosso.
2,onde você encontra o flycatcher real amazônio,Floresta e Woodland.
0,O Parque Nacional do Mapinguari cobre uma grande área do que,floresta amazônica
0,Quilombos são indígenas a que país,Brasil
0,Qual é o nome do grande vulcão na baía de Angra,Monte Brasil
0,Qual é o significado do trem no Brasil?,Comboio
0,O Kaxinawa é um povo indígena de qual país,Brasil
0,Quem dirigiu o programa de TV Pantanal,Jayme Monjardim.
0,Quem é a organização responsável pela proteção do meio ambiente,Ministério do Ministério do Meio Ambiente
0,O que danificou o Delta do Rio de Paraná,Poluição doméstica e industrial
2,De onde a Terra Carlo del Prete no oceano,Fernando de Noronha
2,O campo de óleo de peregrino fora da costa do Brasil foi anteriormente conhecido como,Chinook.
0,Qual é o nome não oficial dado a uma cadreira de elite all-feminino de guarda-costas,A guarda amazônica
0,Quem faz a janela de pesquisa observacional da janela,a agência espacial brasileira
0,A Floresta Nacional de Roraima faz parte do qual o corredor,Corredor ecológico da Amazônia do Norte
0,Brasil é uma ilha fantasma em que corpo de água,oceano Atlântico
0,onde é Belém localizado no rio Amazonas,Brasil
0,que metal está sendo importado para a Amazônia Amazônia,mercúrio
0,O que é uma parte central do Festival do Paraiso no Brasil,fogueiras
0,onde é o submarino brasileiro de classe de escorpénio sendo construído,Sepetiba.
0,quando o Blue Mountain State começou no MTV Brasil,3 de agosto de 2010
0,Quem liderou a frota holandesa que capturou o Brasil,Hendrick Corneliszoon Loncq.
0,O rio Quaraí separa o Uruguai de que outro país,Brasil
0,Quando o Brasil começou a usar combatentes militares,1915
0,Onde estão as praias de aninhamento da tartaruga de Arrau?,Brasil
0,Onde moram o Pirahã no Brasil?,Floresta amazônica
0,Onde está o Fort Orange localizado no Brasil,Itaamaracá Island.
0,Quando a floresta amazônica se tornou completamente destruída?,1970
0,Las Bandidas é um remake of Las Amazonas em que país,Venezuela
